"ACT Test Dates","SAT Test Dates"
"<b>July 12, 2025</b><br>(Digital & Paper)","<b>August 23, 2025</b><br>(Digital Only)"
"<b>September 13, 2025</b><br>(Digital & Paper)","<b>October 4, 2025</b><br>(Digital Only)"
"<b>October 25, 2025</b><br>(Digital & Paper)","<b>November 8, 2025</b><br>(Digital Only)"
"<b>December 13, 2025</b><br>(Digital & Paper)","<b>December 6, 2025</b><br>(Digital Only)"
"<b>February 6, 2026</b><br>(Digital & Paper)","<b>March 14, 2026</b><br>(Digital Only)"
"<b>February 27 – April 7, 2026</b><br>(NC Public School Juniors — Free Administration — Digital Only)","<b>May 2, 2026</b><br>(Digital Only)"
"<b>April 4, 2026</b><br>(Digital & Paper)","<b>June 6, 2026</b><br>(Digital Only)"
"<b>June 13, 2026</b><br>(Digital & Paper)","<b>August 22, 2026</b><br>(Digital Only)"
"<b>July 11, 2026</b><br>(Digital & Paper)","<b>October 3, 2026</b><br>(Digital Only)"
"<b>September 12, 2026</b><br>(Digital & Paper)","<b>November 7, 2026</b><br>(Digital Only)"
"<b>October 24, 2026</b><br>(Digital & Paper)","<b>December 5, 2026</b><br>(Digital Only)"
"<b>December 12, 2026</b><br>(Digital & Paper)",""
